model_label,status,requested_model,resolved_model,agent_type,answered_count,total_probes,correct_count,mean_score,background_ivr_delta_reference,blocked_reason,error_count,input_tokens,output_tokens,total_tokens
GPT-5.4,completed,gpt-5.4-2026-03-05,gpt-5.4-2026-03-05,openai,15,15,15,1.0,0.0,,0,1966,1006,2972
Claude Sonnet 4.6,caveated,claude-sonnet-4-6,claude-sonnet-4-6,claude,14,15,13,0.9286,0.0,,1,2044,1659,3703
Claude Opus 4.7,caveated,claude-opus-4-7,claude-opus-4-7,claude,13,15,13,1.0,0.0,,2,2654,928,3582
Kimi 2.6,caveated,kimi-k2.6,kimi-k2.6,openai_compatible,14,15,14,1.0,0.0167,,1,1860,1909,3769
GLM-5,caveated,glm-5,glm-5,openai_compatible,7,15,6,0.8571,0.0,,8,2815,11763,14578
DeepSeek V3.2,completed,deepseek-chat,deepseek-chat,openai_compatible,15,15,15,1.0,-0.05,,0,2211,1519,3730
Gemma 4,completed,google/gemma-4-31B-it,google/gemma-4-31B-it,openweight,15,15,15,1.0,0.0,,0,2338,1144,3482
